Household_ID;area_m2;footprint_m2;n_storeys_above;heated_basement;era_raw;era;renovation_count;residents;hp_type;dhw_electric;dhw_known;installed_kw;hp_install_year;building_type;visit_date;pv;label_correctly_planned;label_sizing_direction;label_curve_too_high;label_limit_too_high;label_night_setback;label_curve_changed;emitter;storey_sum_m2;storey_reconciles;geometry_complete;n_days;n_warm;n_cold;hdd_per_day;kwh_per_day;Weather_ID;hdd_normal_per_day;hdd_normal_se_rel;normal_years;house;heat_pump;total;house_lo;house_hi;heat_pump_lo;heat_pump_hi;total_lo;total_hi;unit_recommendation;unit_age_years;visit_status
120701;236.0;110.0;2;True;1986 - 90;1976_1990;0;2;ground-source;False;True;10.88;2007.0;single family house;2016-10-13;False;True;;True;False;True;True;floor_only;236.0;True;True;576;254;322;3.52981418578905;25.68823263888889;Hg;3.7172538605042673;0.0465927316569888;5;1365.4749017527438;222.1969150228631;1587.6718167756076;1101.3117410017844;2092.7784204143354;161.12955515322363;261.4013538146512;1288.3788861559192;2347.4133663562725;KEEP_IN_LIFE;17.0;USES_LESS_THAN_MODELLED
706646;160.0;100.0;3;False;2000 - 10;2001_2010;0;4;air-source;True;True;6.1;;single family house;2018-08-20;;True;;;False;False;;floor_only;160.0;True;True;939;402;537;3.790436125387785;24.291996805111822;8jB;3.723456018059466;0.04687251745696425;5;2938.5632969287226;0.0;2938.5632969287217;2657.879413600001;3553.544515497276;7.764295944105635;443.90290860807403;2731.4702643899022;3868.7024639846927;RECORD_INSTALL_YEAR;;INCONCLUSIVE
1078861;160.0;70.0;1;True;< 1975;pre1975;0;2;ground-source;False;True;10.0;;single family house;2018-10-17;True;True;;True;True;False;True;radiator_only;160.0;True;True;393;317;76;0.5341745952723385;20.22842748091603;8jB;3.723456018059466;0.04687251745696425;5;1424.1728301888954;0.0;1424.1728301888957;1285.6213960252785;2059.354059624181;5.63415242403538;310.24516332336066;1294.3770312730308;2356.9566749184087;RECORD_INSTALL_YEAR;;INCONCLUSIVE
190821;155.0;45.0;3;True;> 2010;post2010;0;4;ground-source;False;True;;;single family house;2018-12-05;True;True;;True;False;True;True;floor_only;155.0;True;True;1292;522;770;3.9551401545744156;13.514768575851392;Hg;3.7172538605042673;0.0465927316569888;5;41.08652062602541;0.0;41.086520626025504;-93.32957201387454;209.69520494387194;5.978987736361455;288.7656759027591;-25.596578099985685;392.4794062706963;RECORD_INSTALL_YEAR;;INCONCLUSIVE
105898;160.0;80.0;2;False;1981 - 85;1976_1990;1;2;air-source;False;True;10.0;;single family house;2018-12-14;;True;;False;False;True;True;floor_only;160.0;True;True;789;334;455;3.7449600944141364;39.92827249683143;Hg;3.7172538605042673;0.0465927316569888;5;851.0364379923977;0.0;851.0364379923981;247.9839861417035;1791.1118996480386;4.311405782310413;339.19871982126335;352.8265819472159;2028.0251997307585;RECORD_INSTALL_YEAR;;INCONCLUSIVE
1178890;210.0;100.0;2;True;2000 - 10;2001_2010;0;1;air-source;False;True;12.0;2009.0;single family house;2019-01-14;;True;;False;False;False;;floor_only;210.0;True;True;180;68;112;3.9353222222222226;26.44027222222222;Hg;3.7172538605042673;0.0465927316569888;5;476.05965994593146;207.01443010287755;683.0740900488081;306.57998874538464;716.9941861295056;125.08004087745152;228.75967541024212;457.9391055397145;903.6779521216605;PLAN_REPLACEMENT;15.0;INCONCLUSIVE
731201;255.0;120.0;2;True;1976 - 80;1976_1990;2;3;air-source;False;True;10.78;;single family house;2019-02-07;;True;;True;False;True;;both;255.0;True;True;539;202;337;5.612336116264688;63.08366975881261;MqO;5.348647862061662;0.04171850662481971;5;2502.4383697753956;0.0;2502.4383697753947;1142.7604473255437;4891.037780005453;11.288799062498606;873.5607414104888;1347.4609706853514;5535.756567460537;RECORD_INSTALL_YEAR;;INCONCLUSIVE
1228011;120.0;60.0;2;False;2000 - 10;2001_2010;0;3;air-source;True;True;10.0;;single family house;2019-04-01;False;True;;True;False;False;;floor_only;120.0;True;True;678;336;342;3.1753181993074255;21.941836283185843;8jB;3.723456018059466;0.04687251745696425;5;2102.6505649465007;0.0;2102.650564946501;1879.1501738599861;2596.849853892809;6.930027843092179;277.793866506857;1914.287113088102;2778.0650143585813;RECORD_INSTALL_YEAR;;INCONCLUSIVE
114117;260.0;100.0;3;False;1991 - 95;1991_2000;0;2;air-source;True;True;24.0;;single family house;2019-04-04;;True;;False;True;True;True;floor_only;260.0;True;True;340;168;172;3.053833546462063;61.47519117647058;8jB;3.723456018059466;0.04687251745696425;5;1713.7275826430077;0.0;1713.7275826430073;1484.4124693513431;2171.7958049313656;15.277885595231636;525.1903397510978;1580.3423272406892;2566.43015995787;RECORD_INSTALL_YEAR;;SLOPE_EXCESS
8627071;250.0;150.0;2;False;2000 - 10;2001_2010;0;3;ground-source;True;True;16.2;;other;2019-05-02;;True;;False;True;True;False;both;250.0;True;True;270;136;134;3.314391975308642;81.64951851851852;z6I;3.628140633646451;0.04633524719698416;5;2570.0517119740775;0.0;2570.051711974078;2255.923232341313;3094.075363963825;3.585275003560322;475.386473751249;2308.943611087916;3425.21939007064;RECORD_INSTALL_YEAR;;INCONCLUSIVE
